Museum_Name,Museum_ID,State
"ADAN E. TREGANZA ANTHROPOLOGY MUSEUM",8400600561,CA
"ADDISON CENTER FOR THE ARTS",8401700789,IL
"ADDISON GALLERY OF AMERICAN ART",8402501094,MA
"ADDISON HISTORICAL MUSEUM",8401700256,IL
"ADDISON HISTORICAL SOCIETY",8401700411,IL
"ADDISON TOWN HISTORICAL SOCIETY",8405000113,VT
"ADDISON/RIPLEY GALLERY",8401100177,DC
"ADELPHI UNIVERSITY GALLERIES",8409502667,NY
"ADENA MANSION AND GARDENS SOCIETY",8403900447,OH
"ADENA STATE MEMORIAL",8403900209,OH
"ADEPT NEW AMERICAN FOLK CENTER",8403600439,NY
"ADIRONDACK ARCHITECTURAL HERITAGE",8403601882,NY
"ADIRONDACK HISTORICAL ASSOCIATION",8403601003,NY
"ADIRONDACK HISTORY CENTER",8403600398,NY
"ADIRONDACK MENNONITE HERITAGE FARM",8403601478,NY
"ADIRONDACK MUSEUM",8403600402,NY
"ADIRONDACK RAILWAY PRESERVATION SOCIETY",8403601881,NY
"ADIRONDACK WOMEN IN HISTORY",8403601175,NY
"ADKINS ARBORETUM",8402400364,MD
"ADKINS HISTORICAL AND MUSEUM COMPLEX",8402400499,MD
"ADLER PLANETARIUM & ASTRONOMY MUSEUM",8401700971,IL
"ADM & SMSU ENVIRONMENTAL LEARNING AREA",8409501292,MN
"ADMINISTRATION BUILDING GALLERY",8409502668,MO
"ADOBE DESIGN CENTER AND SHOWROOM",8401100066,DC
"ADOBE MOUNTAIN RAILROAD MUSEUM AND DESERT RAILROAD",8400400103,AZ
"ADOLPHUS BUSCH HALL",8402501109,MA
"ADRIANA HESS AUDUBON CENTER",8405300742,WA
"ADSMORE MUSEUM",8402100077,KY
"ADVANCEMENT OF NEGRO COUNTRY LIFE",8404200319,PA
"ADVENTURE AQUARIUM",8409500002,NJ
"ADVENTURE SCIENCE CENTER",8409500234,TN
"ADVENTURE SCIENCE CENTER NASHVILLE",8404700346,TN
"ADVENTURES IN HEALTH",8403700842,NC
"ADVERTISING ICON MUSEUM",8402900153,MO
"AERONAUTICAL HERITAGE MUSEUM",8400601465,CA
"AERONAUTICS MUSEUM FOUNDATION",8402600502,MI
"AERONCA AIRCRAFT HISTORY MUSEUM",8402600386,MI
